CustomerID,Recency,Frequency,Monetary,RecencyScore,FrequencyScore,MonetaryScore,RFM_Score,Value Segment,RFM Customer Segments
1,84,7,"305,5",5,2,1,8,High-Value,Potential Loyalists
3,264,3,"172,2",5,1,1,7,Mid-Value,Potential Loyalists
4,1230,2,"179,0",2,1,1,4,Low-Value,Can't Lose
5,243,5,"272,8",5,1,1,7,Mid-Value,Potential Loyalists
6,192,3,"168,2",5,1,1,7,Mid-Value,Potential Loyalists
7,430,5,"233,75",4,1,1,6,Mid-Value,Potential Loyalists
9,183,4,"130,85000000000002",5,1,1,7,Mid-Value,Potential Loyalists
10,166,4,"115,85",5,1,1,7,Mid-Value,Potential Loyalists
12,1590,1,"44,099999999999994",1,1,1,3,Low-Value,Lost
13,788,3,"129,6",3,1,1,5,Low-Value,At Risk Customers
16,374,3,"313,25",4,1,1,6,Mid-Value,Potential Loyalists
18,1049,1,"84,9",3,1,1,5,Low-Value,At Risk Customers
19,431,5,"48,05",4,1,1,6,Mid-Value,Potential Loyalists
20,1601,2,"100,55000000000001",1,1,1,3,Low-Value,Lost
21,775,2,"29,75",3,1,1,5,Low-Value,At Risk Customers
23,922,2,"29,799999999999997",3,1,1,5,Low-Value,At Risk Customers
24,1043,1,"5,4",3,1,1,5,Low-Value,At Risk Customers
25,894,2,"721,9000000000001",3,1,2,6,Mid-Value,Potential Loyalists
26,22,4,"316,05",5,1,1,7,Mid-Value,Potential Loyalists
29,568,2,"37,599999999999994",4,1,1,6,Mid-Value,Potential Loyalists
30,409,1,"28,75",4,1,1,6,Mid-Value,Potential Loyalists
31,19,4,"536,9",5,1,1,7,Mid-Value,Potential Loyalists
33,526,2,"107,80000000000001",4,1,1,6,Mid-Value,Potential Loyalists
34,1173,4,"423,55",2,1,1,4,Low-Value,Can't Lose
36,743,5,"407,20000000000005",3,1,1,5,Low-Value,At Risk Customers
37,525,4,"496,8",4,1,1,6,Mid-Value,Potential Loyalists
39,636,1,"2,2",4,1,1,6,Mid-Value,Potential Loyalists
40,21,2,"39,599999999999994",5,1,1,7,Mid-Value,Potential Loyalists
41,165,3,"38,25",5,1,1,7,Mid-Value,Potential Loyalists
44,9,3,"187,2",5,1,1,7,Mid-Value,Potential Loyalists
45,25,3,"451,95",5,1,1,7,Mid-Value,Potential Loyalists
46,219,3,"87,65",5,1,1,7,Mid-Value,Potential Loyalists
47,444,5,"234,0",4,1,1,6,Mid-Value,Potential Loyalists
48,1585,1,"125,25",1,1,1,3,Low-Value,Lost
49,949,1,"11,6",3,1,1,5,Low-Value,At Risk Customers
50,568,3,"102,85000000000001",4,1,1,6,Mid-Value,Potential Loyalists
51,523,2,"1115,1999999999998",4,1,2,7,Mid-Value,Potential Loyalists
52,382,4,"128,70000000000002",4,1,1,6,Mid-Value,Potential Loyalists
53,142,3,"276,75",5,1,1,7,Mid-Value,Potential Loyalists
56,270,1,"8,9",5,1,1,7,Mid-Value,Potential Loyalists
58,64,3,"537,25",5,1,1,7,Mid-Value,Potential Loyalists
59,1140,3,"60,4",2,1,1,4,Low-Value,Can't Lose
61,360,5,"203,6",5,1,1,7,Mid-Value,Potential Loyalists
63,419,3,"80,65",4,1,1,6,Mid-Value,Potential Loyalists
65,150,2,"238,4",5,1,1,7,Mid-Value,Potential Loyalists
71,681,1,"18,15",4,1,1,6,Mid-Value,Potential Loyalists
72,351,2,"68,65",5,1,1,7,Mid-Value,Potential Loyalists
74,14,4,"196,2",5,1,1,7,Mid-Value,Potential Loyalists
75,1147,1,"3,1",2,1,1,4,Low-Value,Can't Lose
76,360,9,"575,25",5,2,1,8,High-Value,Potential Loyalists
77,24,7,"884,1",5,2,2,9,High-Value,Champions
78,148,6,"358,4",5,1,1,7,Mid-Value,Potential Loyalists
79,790,3,"140,15",3,1,1,5,Low-Value,At Risk Customers
81,558,4,"328,9",4,1,1,6,Mid-Value,Potential Loyalists
83,788,2,"110,55",3,1,1,5,Low-Value,At Risk Customers
84,47,6,"342,45",5,1,1,7,Mid-Value,Potential Loyalists
88,568,1,"118,1",4,1,1,6,Mid-Value,Potential Loyalists
89,631,5,"221,55",4,1,1,6,Mid-Value,Potential Loyalists
90,242,3,"144,6",5,1,1,7,Mid-Value,Potential Loyalists
91,129,3,"110,25",5,1,1,7,Mid-Value,Potential Loyalists
92,1116,2,"82,55",2,1,1,4,Low-Value,Can't Lose
94,386,4,"276,45",4,1,1,6,Mid-Value,Potential Loyalists
95,684,4,"105,45",4,1,1,6,Mid-Value,Potential Loyalists
96,288,2,"148,0",5,1,1,7,Mid-Value,Potential Loyalists
97,1529,2,"399,0",1,1,1,3,Low-Value,Lost
99,82,3,"94,55",5,1,1,7,Mid-Value,Potential Loyalists
101,780,2,"43,379999999999995",3,1,1,5,Low-Value,At Risk Customers
102,379,3,"263,20000000000005",4,1,1,6,Mid-Value,Potential Loyalists
105,1298,1,"30,299999999999997",2,1,1,4,Low-Value,Can't Lose
106,1221,3,"477,0",2,1,1,4,Low-Value,Can't Lose
108,13,5,"352,4",5,1,1,7,Mid-Value,Potential Loyalists
109,561,4,"137,1",4,1,1,6,Mid-Value,Potential Loyalists
111,1176,1,"51,9",2,1,1,4,Low-Value,Can't Lose
117,221,3,"82,5",5,1,1,7,Mid-Value,Potential Loyalists
121,413,8,"782,6",4,2,2,8,High-Value,Potential Loyalists
123,271,7,"259,3",5,2,1,8,High-Value,Potential Loyalists
125,1096,2,"92,0",2,1,1,4,Low-Value,Can't Lose
126,220,1,"159,95",5,1,1,7,Mid-Value,Potential Loyalists
128,11,4,"122,1",5,1,1,7,Mid-Value,Potential Loyalists
129,292,2,"190,05",5,1,1,7,Mid-Value,Potential Loyalists
130,181,4,"458,05",5,1,1,7,Mid-Value,Potential Loyalists
131,191,5,"162,2",5,1,1,7,Mid-Value,Potential Loyalists
132,531,1,"9,45",4,1,1,6,Mid-Value,Potential Loyalists
133,1087,1,"54,0",3,1,1,5,Low-Value,At Risk Customers
134,185,6,"250,4",5,1,1,7,Mid-Value,Potential Loyalists
137,1389,1,"30,95",2,1,1,4,Low-Value,Can't Lose
